	Significant	y_pred	y_prob
63895	0	True	0.42582726
63929	0	False	0.129862
63890	0	True	0.53117484
63907	0	False	0.10004301
63924	0	False	0.12993991
63897	0	False	0.10765973
63882	0	False	0.084781386
63899	0	False	0.1129358
63923	0	False	0.08915181
63906	0	True	0.36804467
63900	0	True	0.35111836
63917	0	False	0.08642909
63927	0	False	0.08812896
63893	0	False	0.08824097
63910	0	True	0.48961186
63930	0	False	0.084673375
63913	0	True	0.60339767
63901	1	True	0.5551777
63885	0	False	0.084781386
63902	1	True	0.6387602
63891	0	False	0.08743021
63925	0	False	0.085699305
63908	1	True	0.62839395
63887	0	False	0.0918218
63904	0	True	0.57576406
63888	0	False	0.084781386
188	0	False	0.084673375
63898	0	True	0.52991515
63892	0	False	0.08556449
63926	0	False	0.08309814
63911	0	False	0.30362633
193	0	False	0.084673375
63894	0	False	0.08556449
172	0	True	0.5756096
153	0	False	0.13608767
213	0	False	0.086532734
232	0	True	0.36189574
115	0	False	0.08435491
233	1	False	0.1746049
116	0	False	0.08435491
195	0	False	0.08856453
154	0	False	0.25149196
155	0	True	0.38459682
136	0	False	0.093738385
251	0	False	0.09259905
196	0	False	0.09696976
234	0	False	0.23564437
99	0	False	0.16443034
137	0	False	0.085586704
118	0	False	0.08435491
216	0	False	0.08558127
235	1	True	0.5225733
156	1	False	0.15105304
288	0	False	0.08647916
197	0	False	0.08954592
100	0	False	0.09214122
289	0	False	0.08647916
253	0	False	0.08376265
198	0	False	0.08856453
157	0	False	0.10882738
273	0	False	0.08647916
236	0	True	0.45142612
218	0	False	0.08479805
120	0	False	0.086834155
158	0	True	0.55301064
199	0	False	0.08856453
322	0	False	0.09073692
101	0	False	0.2680399
237	1	False	0.2554718
254	0	False	0.08376265
408	0	False	0.085474886
255	0	False	0.08376265
102	0	False	0.113909006
178	0	False	0.0874009
291	0	False	0.09120836
121	0	False	0.08435491
323	0	False	0.09073692
239	0	False	0.08675664
292	0	False	0.08953179
122	0	False	0.08435491
201	0	True	0.763967
220	0	False	0.14149556
221	0	False	0.13723738
142	0	False	0.08653822
240	0	False	0.08675664
411	0	False	0.085474886
222	0	False	0.111747205
203	1	True	0.56356484
143	0	False	0.08653822
278	0	False	0.08953179
241	0	False	0.13112406
294	0	False	0.08953179
295	0	False	0.08942608
106	0	False	0.08850057
327	0	False	0.090629935
242	0	False	0.09153726
204	0	True	0.6456062
259	0	False	0.1271745
223	0	False	0.12613067
279	0	False	0.0925722
412	0	False	0.0883909
144	0	False	0.104019456
280	0	False	0.09265376
296	0	False	0.09265376
224	0	False	0.12790054
205	1	True	0.7648279
164	0	False	0.08706052
183	0	False	0.09111839
108	0	False	0.08558127
297	0	False	0.08953179
127	0	False	0.08608139
225	0	False	0.11010052
282	0	False	0.09254792
330	0	False	0.09192396
399	0	False	0.0949217
128	0	False	0.090270065
167	0	False	0.084887005
263	0	False	0.15263383
246	0	False	0.08675664
400	0	False	0.08873145
283	0	False	0.09035441
208	0	True	0.39413068
227	0	False	0.11543782
110	0	False	0.08479805
186	0	False	0.08389768
300	0	False	0.08953179
264	0	False	0.31834018
187	0	False	0.08389768
149	0	True	0.4846115
209	0	False	0.10911565
247	0	False	0.08675664
285	0	False	0.17280093
131	0	False	0.27449873
112	0	False	0.08558127
248	0	False	0.08675664
169	0	False	0.08410954
210	0	False	0.08954592
333	0	False	0.10677622
132	0	False	0.10460079
151	0	False	0.08653822
419	0	False	0.10477556
335	0	True	0.61616695
267	0	False	0.08376265
171	0	False	0.08410954
420	0	False	0.085474886
114	0	False	0.08479805
404	0	False	0.16471224
287	0	False	0.12357283
565	0	False	0.0853493
1172	0	False	0.15952551
1176	0	False	0.08569413
566	0	False	0.0884813
1177	0	False	0.08800366
1186	0	False	0.087743215
407	0	False	0.08954747
423	0	False	0.085474886
1182	0	False	0.103609204
567	0	False	0.087129496
1174	0	False	0.24609305
1183	0	False	0.10454633
1187	0	False	0.08458462
568	0	False	0.0853493
1179	0	False	0.08569413
424	0	False	0.085474886
1721	0	False	0.08479805
1766	0	False	0.084567994
1723	0	False	0.086728856
1691	0	True	0.5027995
1813	0	False	0.086728856
1769	0	False	0.0853493
1707	0	False	0.08831725
1814	0	False	0.08479805
1784	0	False	0.08442102
1799	0	False	0.08442102
1815	0	False	0.08479805
1708	0	False	0.08831725
1709	0	False	0.08644859
1741	0	True	0.49791038
1694	1	True	0.74952257
1742	0	True	0.57931256
1695	0	False	0.24181995
1788	0	False	0.08442102
1773	0	False	0.10997577
1758	0	False	0.17078748
1759	0	False	0.16632879
1774	0	False	0.10689999
1729	0	False	0.08769319
1698	0	False	0.08895914
1775	0	False	0.17811833
1730	0	False	0.08968346
1760	0	False	0.20701909
1713	0	False	0.09253731
1731	0	False	0.088258244
1806	0	False	0.08786732
1714	0	False	0.091071285
1699	0	False	0.08754434
1746	0	False	0.098044716
1761	0	False	0.15361921
1791	0	False	0.08786732
1776	0	False	0.12942873
1822	0	False	0.30889386
1762	0	False	0.08700315
1715	0	False	0.085474886
1808	0	False	0.12604591
1793	0	False	0.12604591
1748	0	False	0.0844486
1823	0	True	0.35276243
1716	0	False	0.085474886
1779	0	True	0.3645027
1824	0	True	0.62680054
1717	0	False	0.08637214
1794	0	False	0.13279018
1734	0	False	0.22023046
1749	0	False	0.08533607
1780	0	False	0.092534184
1735	0	False	0.13762352
1750	0	False	0.08971544
1765	0	False	0.09057236
1795	0	False	0.12700912
1846	0	False	0.15970372
1850	0	False	0.08386712
1844	0	False	0.11472768
1843	0	False	0.08626377
1849	0	False	0.13198957
1845	0	True	0.5599784
1852	0	False	0.085712604
1906	0	False	0.084537216
1894	0	False	0.08665846
1887	0	False	0.08723391
1853	0	False	0.085712604
1873	0	False	0.086327046
1859	0	False	0.1939367
1866	0	False	0.086440794
1888	0	False	0.08723391
1895	0	False	0.08665846
1860	0	False	0.19114769
1867	0	False	0.086440794
1875	0	False	0.086327046
1889	0	False	0.08723391
1868	0	False	0.086440794
1908	0	False	0.084537216
1882	0	False	0.08389768
1855	0	False	0.085712604
1861	0	False	0.18162432
1896	0	False	0.08665846
1862	0	False	0.16691111
1869	0	False	0.09281932
1856	0	False	0.09480726
1883	0	False	0.09281932
1876	0	False	0.0970785
1857	0	False	0.08766226
1884	0	False	0.0866016
1863	0	False	0.27785283
1877	0	False	0.08813651
1898	0	False	0.086026154
1878	0	False	0.085366055
1858	0	False	0.085712604
1864	0	False	0.1590537
1885	0	False	0.084673375
1912	0	False	0.08376265
1886	0	False	0.084673375
1879	0	False	0.085366055
1872	0	False	0.08389768
1925	0	False	0.24141221
1937	0	False	0.08410954
1902	0	False	0.08673936
1914	0	True	0.7337765
1938	0	False	0.08673936
1927	0	False	0.08628617
1921	0	False	0.08947774
1940	0	False	0.08583147
1916	0	True	0.6035123
1929	0	False	0.08628617
1905	0	False	0.08410954
1917	0	True	0.48394725
1943	0	True	0.59597796
1961	0	False	0.08891479
1972	0	False	0.086549945
1997	0	False	0.084567994
1952	0	False	0.11745941
1945	0	False	0.10808134
1998	0	False	0.086321704
1984	0	False	0.08686332
2011	0	False	0.087517336
1963	0	False	0.088181816
1946	0	False	0.08553233
1953	0	False	0.085764766
1973	0	True	0.7697906
2024	0	False	0.085854635
1999	0	False	0.098961234
1985	0	False	0.14009178
2012	0	False	0.08823486
1974	0	False	0.3129972
1954	0	False	0.08646926
1947	0	False	0.08623512
2025	0	False	0.08576846
2013	0	False	0.08558127
1955	0	False	0.08558127
1986	0	False	0.0867011
1948	0	False	0.084567994
2027	0	False	0.08410954
1956	0	False	0.08558127
1966	0	False	0.087993674
1967	0	False	0.096926466
2015	0	False	0.16059783
1977	0	False	0.12497691
2028	0	False	0.09353677
2039	0	False	0.10059196
2002	0	False	0.12613721
1957	0	False	0.09087828
2029	0	False	0.088350475
2016	0	False	0.14692391
1958	0	False	0.088258244
1989	0	False	0.24423458
2040	0	False	0.09839254
1968	0	False	0.09157121
1978	0	False	0.11721043
1969	0	False	0.08719046
2017	0	False	0.12592606
1959	0	False	0.08558127
1980	0	False	0.087969415
1981	0	False	0.094210744
1993	0	False	0.08767568
2007	0	False	0.08930949
2045	0	True	0.43169913
2034	0	False	0.0903616
1994	0	False	0.08957082
2008	0	False	0.08820235
2021	0	False	0.08925494
2022	0	False	0.08558127
1995	0	False	0.08588538
2009	0	False	0.11313777
2047	0	False	0.2513608
1996	0	False	0.08588538
2036	0	False	0.11999463
2049	0	False	0.17374331
2063	0	False	0.09192528
2064	0	False	0.088335246
2050	0	False	0.19818442
2055	0	False	0.0932068
2065	0	False	0.095580496
2066	0	False	0.22942942
2052	0	False	0.12270126
2056	0	True	0.6935946
2061	0	False	0.088258244
2057	0	False	0.08740817
2062	0	False	0.08693577
2067	0	False	0.087736845
2071	0	False	0.08654446
2069	0	False	0.087033056
7	0	False	0.10432712
15	0	False	0.24494049
8	0	False	0.08423609
2	0	True	0.37927282
10	0	False	0.08309814
3	0	True	0.61253774
11	0	False	0.096627265
12	0	False	0.08309814
4	0	True	0.3694484
13	0	False	0.08909246
14	0	False	0.08601697
64901	0	False	0.11851957
64902	0	False	0.09594922
64911	0	False	0.08857548
64904	0	False	0.12600808
64913	0	True	0.56517553
64923	0	False	0.10495478
64918	0	True	0.39523464
64917	0	True	0.44181263
64908	0	False	0.11070749
64912	0	True	0.5644348
64906	0	False	0.110983215
64914	0	False	0.08933538
65203	0	False	0.109377675
64929	0	False	0.1014349
65199	0	True	0.57691157
65195	0	False	0.105688766
22	0	False	0.086150914
65194	0	False	0.08588538
65196	0	True	0.5071103
65200	0	False	0.14723794
64926	0	False	0.107731365
65205	0	False	0.09775408
16	0	False	0.09321068
64035	0	False	0.18255128
64037	0	True	0.45820874
64039	0	False	0.16516772
79	0	False	0.0886095
41	0	False	0.10822404
65654	0	False	0.08776936
65647	0	False	0.17458002
65661	0	True	0.64981663
72	0	False	0.08553233
65663	0	True	0.65498453
65649	0	False	0.170674
65662	0	True	0.68001235
65648	0	False	0.1820266
83	0	False	0.08651102
65	0	False	0.086026154
55	0	False	0.08580992
84	0	False	0.08377914
65659	0	False	0.100539386
65652	0	False	0.088594414
66	0	False	0.08410954
37	0	False	0.084673375
56	0	False	0.08389768
65653	0	False	0.08943336
65660	0	False	0.10650981
85	0	False	0.08377914
47	0	False	0.10508677
38	0	False	0.08389768
65650	0	False	0.08762245
65664	0	False	0.085712604
73	0	False	0.13032393
35	0	False	0.08389768
65657	0	False	0.08549492
77	0	False	0.08377914
26	0	False	0.08389768
68	0	False	0.084567994
49	0	False	0.084673375
59	0	False	0.08725207
27	0	False	0.086440794
78	0	False	0.08377914
50	0	False	0.08856744
95	0	False	0.085366055
93	0	False	0.084567994
94	0	True	0.6225397
91	0	False	0.13833362
90	0	False	0.084887005
65240	0	True	0.49874052
268	0	False	0.31888914
305	0	True	0.54109466
307	0	False	0.111971185
310	0	False	0.09529089
311	0	True	0.4097462
306	0	False	0.100752145
314	0	False	0.2696928
317	0	False	0.10416181
319	0	False	0.088174134
347	0	False	0.13623154
344	0	True	0.4748538
321	0	False	0.08736945
342	0	False	0.08876935
351	0	False	0.10729078
369	0	False	0.13397336
391	0	False	0.10194781
367	0	False	0.100683086
361	0	False	0.09870628
370	0	False	0.089049034
368	0	False	0.11556948
358	0	False	0.09917744
376	0	False	0.09809373
380	0	False	0.12645483
390	0	False	0.086699665
366	0	False	0.08719264
349	0	False	0.093006566
354	0	False	0.091580056
352	0	False	0.1265704
362	0	False	0.15575549
350	0	False	0.092162214
447	0	False	0.08479805
373	0	False	0.08581322
436	0	False	0.08309814
458	0	False	0.08640535
425	0	False	0.084673375
363	0	False	0.084567994
492	0	False	0.10817547
426	0	False	0.09070412
382	0	False	0.100872
481	0	False	0.094649546
437	0	False	0.08984608
502	0	False	0.09536689
356	0	False	0.09070412
364	0	False	0.09142339
378	0	False	0.10591868
459	0	False	0.09339449
470	0	False	0.09239636
374	0	False	0.09278419
503	0	False	0.093035474
427	0	False	0.084673375
365	0	False	0.084567994
493	0	False	0.10376925
449	0	False	0.08558127
375	0	False	0.08502805
482	0	False	0.08757558
450	0	False	0.08479805
439	0	False	0.09395334
512	0	False	0.086464696
533	0	False	0.10096265
472	0	False	0.0903676
483	0	True	0.45091912
451	0	False	0.08479805
524	0	False	0.08629843
534	0	False	0.10022239
495	0	False	0.09927354
473	0	False	0.0872221
389	0	False	0.085259914
484	0	True	0.40076783
441	0	False	0.08984608
506	0	True	0.39414638
525	0	False	0.09142339
535	0	False	0.1056608
452	0	False	0.09167021
514	0	False	0.09585646
496	0	False	0.10718143
430	0	False	0.089878604
485	0	False	0.20782629
536	0	False	0.11374253
464	0	False	0.08640535
475	0	False	0.08626377
507	0	True	0.5354754
431	0	False	0.084673375
515	0	False	0.08951686
486	0	False	0.14414568
487	0	False	0.13567355
527	0	False	0.0892398
465	0	False	0.08935001
443	0	False	0.08673348
498	0	False	0.10723619
476	0	False	0.08920408
454	0	False	0.08769319
517	0	False	0.08951686
538	0	False	0.1063749
528	0	False	0.08629843
546	0	False	0.08458462
477	0	False	0.08626377
466	0	False	0.08640535
499	0	False	0.09927354
455	0	False	0.08479805
444	0	False	0.08386712
433	0	False	0.084673375
456	0	False	0.090424
539	0	False	0.16093892
529	0	False	0.09201391
445	0	False	0.08943734
510	1	True	0.8066385
434	0	False	0.08946973
518	0	False	0.09269971
489	0	False	0.3085855
530	0	False	0.08629843
519	0	False	0.08951686
501	0	False	0.10376925
457	0	False	0.08479805
548	0	False	0.08458462
468	0	False	0.08640535
435	0	False	0.08389768
631	0	False	0.093472764
600	0	False	0.08870409
646	1	True	0.6980888
520	0	False	0.09060502
569	0	False	0.09426312
585	0	False	0.090732284
531	0	False	0.089441456
647	0	True	0.5965072
616	0	False	0.09190914
521	0	False	0.09230451
532	0	False	0.08801972
550	0	False	0.08884719
648	0	True	0.5415441
572	0	False	0.09925946
649	0	False	0.11738521
618	0	False	0.09834223
603	0	False	0.11825482
660	0	False	0.10273941
552	0	False	0.09687287
726	0	False	0.11958731
683	0	False	0.08704331
619	0	False	0.08831966
769	0	False	0.093284346
635	0	False	0.16001295
705	0	False	0.084673375
573	0	False	0.08915266
727	0	False	0.11026379
553	0	False	0.08458462
748	0	False	0.08675664
650	0	False	0.11470799
661	0	False	0.08978099
589	0	False	0.15250254
604	0	False	0.11497767
620	0	False	0.08831966
706	0	False	0.08389768
684	0	False	0.08704331
728	0	False	0.11026379
554	0	False	0.08458462
651	0	False	0.10679781
605	0	False	0.12228046
574	0	False	0.08915266
636	0	False	0.28411752
770	0	False	0.093284346
555	0	False	0.08829812
729	0	False	0.11598963
652	0	False	0.11119351
771	0	False	0.09733917
750	0	False	0.09055606
685	0	False	0.090854034
621	0	False	0.09218062
637	0	False	0.28690878
730	0	False	0.10652835
664	0	False	0.08978099
708	0	False	0.08389768
577	0	False	0.08915266
752	0	False	0.08675664
639	0	False	0.13369314
709	0	False	0.084673375
773	0	False	0.094137885
557	0	False	0.08458462
623	0	False	0.08831966
731	0	False	0.11125363
710	0	False	0.08731914
688	0	False	0.08798162
594	0	False	0.13553335
753	0	False	0.08946115
640	0	False	0.13957207
609	0	False	0.10654664
559	0	False	0.08747318
579	0	False	0.09218149
641	0	False	0.1994223
733	0	False	0.10714158
667	0	False	0.09282899
711	0	False	0.087564655
595	0	False	0.19113387
657	0	False	0.125154
642	0	False	0.18593913
668	0	False	0.10464278
690	0	False	0.101502486
626	0	False	0.102165796
816	0	False	0.09109984
790	0	False	0.08309814
713	0	False	0.084673375
803	0	False	0.08309814
643	0	False	0.09151465
691	0	False	0.090113886
627	0	True	0.45392174
581	0	False	0.17507552
736	0	False	0.11125363
817	0	False	0.09109984
582	0	False	0.12930462
714	0	False	0.084673375
628	0	True	0.41979983
670	0	False	0.09293829
791	0	False	0.08554391
779	0	False	0.09518734
599	0	False	0.09150353
614	0	False	0.089745834
792	0	False	0.08386712
758	0	False	0.08675664
805	0	False	0.08309814
583	0	False	0.09305066
862	0	False	0.084537216
895	0	False	0.08879375
818	0	False	0.09109984
873	0	False	0.08442102
884	0	False	0.08502805
645	0	False	0.094264895
693	0	False	0.11735712
793	0	False	0.12638098
917	0	False	0.08675664
672	0	False	0.09942089
716	0	False	0.084673375
896	0	False	0.08497917
630	0	False	0.08831966
819	0	False	0.09333255
806	0	False	0.15064697
927	0	False	0.08693772
759	0	False	0.2566306
885	0	False	0.08581322
863	0	False	0.08376265
717	0	False	0.085699305
673	0	False	0.090745874
864	0	True	0.5933319
875	0	False	0.117418885
853	0	False	0.15981428
928	0	False	0.08787501
