	Significant
63895	0
63929	0
63890	0
63907	0
63924	0
63897	0
63882	0
63899	0
63923	0
63906	0
63900	0
63917	0
63927	0
63893	0
63910	0
63930	0
63913	0
63901	1
63885	0
63902	1
63891	0
63925	0
63908	1
63887	0
63904	0
63888	0
188	0
63898	0
63892	0
63926	0
63911	0
193	0
63894	0
172	0
153	0
213	0
232	0
115	0
233	1
116	0
195	0
154	0
155	0
136	0
251	0
196	0
234	0
99	0
137	0
118	0
216	0
235	1
156	1
288	0
197	0
100	0
289	0
253	0
198	0
157	0
273	0
236	0
218	0
120	0
158	0
199	0
322	0
101	0
237	1
254	0
408	0
255	0
102	0
178	0
291	0
121	0
323	0
239	0
292	0
122	0
201	0
220	0
221	0
142	0
240	0
411	0
222	0
203	1
143	0
278	0
241	0
294	0
295	0
106	0
327	0
242	0
204	0
259	0
223	0
279	0
412	0
144	0
280	0
296	0
224	0
205	1
164	0
183	0
108	0
297	0
127	0
225	0
282	0
330	0
399	0
128	0
167	0
263	0
246	0
400	0
283	0
208	0
227	0
110	0
186	0
300	0
264	0
187	0
149	0
209	0
247	0
285	0
131	0
112	0
248	0
169	0
210	0
333	0
132	0
151	0
419	0
335	0
267	0
171	0
420	0
114	0
404	0
287	0
565	0
1172	0
1176	0
566	0
1177	0
1186	0
407	0
423	0
1182	0
567	0
1174	0
1183	0
1187	0
568	0
1179	0
424	0
1721	0
1766	0
1723	0
1691	0
1813	0
1769	0
1707	0
1814	0
1784	0
1799	0
1815	0
1708	0
1709	0
1741	0
1694	1
1742	0
1695	0
1788	0
1773	0
1758	0
1759	0
1774	0
1729	0
1698	0
1775	0
1730	0
1760	0
1713	0
1731	0
1806	0
1714	0
1699	0
1746	0
1761	0
1791	0
1776	0
1822	0
1762	0
1715	0
1808	0
1793	0
1748	0
1823	0
1716	0
1779	0
1824	0
1717	0
1794	0
1734	0
1749	0
1780	0
1735	0
1750	0
1765	0
1795	0
1846	0
1850	0
1844	0
1843	0
1849	0
1845	0
1852	0
1906	0
1894	0
1887	0
1853	0
1873	0
1859	0
1866	0
1888	0
1895	0
1860	0
1867	0
1875	0
1889	0
1868	0
1908	0
1882	0
1855	0
1861	0
1896	0
1862	0
1869	0
1856	0
1883	0
1876	0
1857	0
1884	0
1863	0
1877	0
1898	0
1878	0
1858	0
1864	0
1885	0
1912	0
1886	0
1879	0
1872	0
1925	0
1937	0
1902	0
1914	0
1938	0
1927	0
1921	0
1940	0
1916	0
1929	0
1905	0
1917	0
1943	0
1961	0
1972	0
1997	0
1952	0
1945	0
1998	0
1984	0
2011	0
1963	0
1946	0
1953	0
1973	0
2024	0
1999	0
1985	0
2012	0
1974	0
1954	0
1947	0
2025	0
2013	0
1955	0
1986	0
1948	0
2027	0
1956	0
1966	0
1967	0
2015	0
1977	0
2028	0
2039	0
2002	0
1957	0
2029	0
2016	0
1958	0
1989	0
2040	0
1968	0
1978	0
1969	0
2017	0
1959	0
1980	0
1981	0
1993	0
2007	0
2045	0
2034	0
1994	0
2008	0
2021	0
2022	0
1995	0
2009	0
2047	0
1996	0
2036	0
2049	0
2063	0
2064	0
2050	0
2055	0
2065	0
2066	0
2052	0
2056	0
