feature	fscore
hic_contact	14251.654296875
diff.from.max.contact.from.enhancer	9451.5419921875
distance	6366.333984375
zscore.contact.from.enhancer	5969.9541015625
TargetGeneExpression	3778.012451171875
zscore.contact.to.TSS	2965.3740234375
Enhancer.count.near.TSS	2889.763916015625
TF_NMF1_TSS	2731.6640625
TF_NMF1_e	2702.88037109375
diff.from.max.contact.to.TSS	2624.497314453125
normalized_h3K27ac_e	2230.4599609375
TSS.count.near.enhancer	1735.0697021484375
H3K27ac.RPKM.quantile_TSS	985.6444091796875
TF_NMF10_TSS	950.9274291992188
TF_NMF7_e	947.1784057617188
TF_NMF5_TSS	901.209716796875
TF_NMF3_e	854.869384765625
remaining.TSS.contact.from.enhancer	828.566650390625
TF_NMF4_e	759.7338256835938
STAT1_e	695.3892211914062
XRCC3_TSS	685.6788330078125
H3K4me3.RPKM.quantile_TSS	674.453125
normalized_h3K4me3_e	618.7705078125
TF_NMF9_e	592.9888916015625
remaining.enhancers.contact.to.TSS	503.0878601074219
TF_NMF6_TSS	498.26959228515625
TF_NMF11_TSS	478.72210693359375
TF_NMF4_TSS	477.777099609375
TF_NMF2_TSS	465.0273742675781
HCFC1_TSS	430.0999450683594
TF_NMF7_TSS	373.53936767578125
TF_NMF10_e	366.9945373535156
NFRKB_TSS	348.5497741699219
L3MBTL2_TSS	343.7058410644531
H3K27me3.RPKM.quantile_TSS	334.99407958984375
IRF1_e	330.7391052246094
NFXL1_TSS	320.43267822265625
ELK1_TSS	315.2493591308594
STAT2_e	307.8591613769531
TF_NMF5_e	280.68115234375
TF_NMF8_e	278.150634765625
ARHGAP35_TSS	259.806396484375
RBBP5_TSS	258.0818176269531
CHAMP1_e	254.1037139892578
TF_NMF9_TSS	241.92587280273438
UBTF_TSS	235.35000610351562
TF_NMF6_e	234.01666259765625
E2F8_TSS	231.36708068847656
TAF15_TSS	221.96536254882812
PRDM10_TSS	213.45225524902344
STAT5A_e	209.24685668945312
TF_NMF8_TSS	208.61495971679688
E2F7_e	205.66201782226562
MEIS2_TSS	205.55162048339844
POLR2A_e	199.1311492919922
SIN3B_TSS	194.31781005859375
HMBOX1_e	184.12091064453125
TF_NMF11_e	181.81155395507812
FOXM1_e	177.27516174316406
TF_NMF2_e	172.17138671875
RUNX1_TSS	166.873779296875
SMARCA4_e	160.23269653320312
AFF1_TSS	159.03546142578125
GATA1_e	154.0207061767578
GATAD2A_e	153.77130126953125
CBX5_TSS	146.8970489501953
ZNF184_TSS	143.08511352539062
ESRRA_TSS	138.78456115722656
SMAD1_TSS	137.17324829101562
NCOR1_e	136.81690979003906
GATA2_e	136.53736877441406
KLF16_e	125.51884460449219
TF_NMF12_TSS	125.16608428955078
XRCC5_TSS	123.50188446044922
MLLT1_TSS	121.8255615234375
TF_NMF3_TSS	112.04777526855469
ZBTB5_e	108.61612701416016
PHB2_e	107.96994018554688
ZNF274_e	106.70179748535156
GABPA_TSS	103.03030395507812
NR2F1_e	101.58190155029297
ZBTB40_TSS	99.81004333496094
SIX5_TSS	98.15541076660156
PRDM10_e	97.83944702148438
ASH1L_TSS	93.6651611328125
TCF12_e	93.41844940185547
ZNF24_TSS	91.50634002685547
CC2D1A_e	88.02091217041016
NCOA2_e	83.64736938476562
MYC_e	81.17501831054688
ZBTB7A_TSS	79.52449798583984
RBM22_TSS	79.28305053710938
THAP1_TSS	72.54985046386719
NRF1_e	72.34168243408203
normalized_dhs	69.98841857910156
BRD9_e	69.2933578491211
TEAD4_e	65.56600952148438
ATF3_e	58.95981216430664
CTBP1_e	55.79307174682617
HDAC6_TSS	54.33592224121094
ZBTB11_TSS	50.22806930541992
NR2F2_TSS	49.956626892089844
MIER1_TSS	48.38230895996094
YY1_TSS	44.255157470703125
IRF2_TSS	42.232872009277344
GATAD2B_e	41.559783935546875
NFRKB_e	39.688385009765625
SMAD1_e	39.66618728637695
JUN_e	37.37363815307617
BHLHE40_e	36.18218231201172
E2F6_TSS	34.86210250854492
TAF7_TSS	28.656578063964844
PML_e	24.663352966308594
TBP_TSS	22.743629455566406
WHSC1_TSS	18.8402099609375
ATF7_TSS	17.084918975830078
TAF9B_e	16.549449920654297
HDAC3_e	13.866531372070312
