	Significant	y_pred	y_prob
20536	0	False	0.08362232
20544	0	False	0.097090684
20548	0	False	0.08336158
20565	0	False	0.08268367
20558	0	False	0.1426137
20571	0	False	0.12006838
20526	0	False	0.16154782
20575	0	False	0.10056549
20537	0	False	0.08439569
20572	0	False	0.09577251
20545	0	False	0.08884884
20555	0	False	0.13478303
20566	0	False	0.19456135
20576	0	False	0.10854793
20550	0	True	0.7744091
20560	0	False	0.10709431
20546	0	False	0.10669496
20528	0	False	0.119815774
20539	0	False	0.083465576
20577	0	False	0.09950702
20529	0	False	0.09911964
20561	0	False	0.088375
20547	0	False	0.08884884
20574	0	False	0.09577251
20551	0	False	0.18424317
20562	0	False	0.088375
20541	0	False	0.1277281
20535	0	False	0.08521015
20553	0	False	0.08336158
20563	0	False	0.088375
20584	0	True	0.31745625
20591	0	False	0.08344916
20585	0	True	0.4057258
20592	0	False	0.09003483
20600	0	False	0.10719706
20597	0	True	0.279883
20615	0	False	0.1176493
20587	0	False	0.084451325
20613	0	True	0.2473133
20616	0	False	0.08268367
20602	0	False	0.13048597
63759	0	False	0.08714975
20601	0	False	0.09756909
21070	0	True	0.241382
21071	0	False	0.14920488
21068	0	False	0.108913645
21072	0	False	0.08223451
21061	0	False	0.08322532
21132	0	False	0.083681755
21125	0	False	0.12610956
21141	0	False	0.11618352
21354	0	False	0.08434515
21133	0	False	0.13813218
21122	0	False	0.08299621
21350	0	False	0.17595083
21138	0	False	0.1090448
21134	0	False	0.114254236
21344	0	False	0.08278692
21351	0	True	0.2203844
21135	0	False	0.11264654
21832	0	False	0.08486152
21820	0	True	0.4273137
21353	0	False	0.0835722
21833	0	True	0.20015422
21813	0	False	0.0879987
21821	0	True	0.21533602
21817	0	False	0.08278692
21359	0	False	0.08202696
21805	0	False	0.08290907
21825	0	False	0.085664526
21809	0	False	0.08278692
21830	0	False	0.08434515
21818	0	False	0.08278692
21814	0	False	0.11445377
21806	0	False	0.08290907
21807	0	False	0.08725263
21827	0	False	0.10749316
22299	0	False	0.08606028
21349	0	False	0.08459768
21815	0	False	0.11035034
22302	0	False	0.0866004
21831	0	False	0.08698164
21819	0	False	0.08459768
65126	0	True	0.40277687
65110	0	True	0.26602352
65118	1	True	0.36502206
65102	0	False	0.08389075
65121	1	True	0.4867635
65113	0	True	0.3725587
65129	0	True	0.52448726
65125	0	True	0.35012963
65101	0	False	0.08389075
65117	1	True	0.33658054
65123	0	True	0.3228155
65131	0	True	0.19894561
65116	0	True	0.36836466
65124	0	True	0.20360427
65119	1	True	0.4972089
65127	0	True	0.20743594
65103	0	False	0.08503855
65128	0	False	0.1918032
