	Significant
2665	0
2711	0
2658	0
2650	0
2774	0
2636	0
2682	0
2759	0
2689	0
2745	0
2746	0
2775	0
2676	0
2810	0
2782	0
2659	0
2705	0
2719	0
2683	0
2671	0
2760	0
2690	0
2765	0
2732	0
2697	1
2789	0
2770	0
2725	0
2753	0
2740	0
2638	0
2776	0
2790	0
2771	0
2631	0
2804	0
2754	0
2733	0
2720	0
2660	0
2713	0
2706	0
2652	0
2673	0
2685	0
2762	0
2721	0
2714	0
11069	0
2741	0
2678	0
2767	0
2768	0
11058	0
11070	0
2633	0
2674	0
2763	0
11064	0
2773	0
2640	0
2669	0
11082	0
2785	0
11088	0
2792	0
2624	0
2806	0
2778	0
2813	0
2647	0
2708	0
2728	0
2715	0
2735	0
2679	0
2742	0
2700	0
2749	0
2722	0
2693	0
2756	0
2686	0
2786	0
11083	0
11065	0
2750	0
11053	0
2723	0
2687	0
2648	0
11060	0
2780	0
2744	0
11054	0
11084	0
2656	0
2681	0
11091	0
2703	0
2657	0
2140	0
2176	0
2167	0
2158	0
11068	0
2628	0
11092	0
2168	0
11056	0
2194	0
11062	0
2185	0
11074	0
2169	0
2179	0
2170	0
2196	0
2143	0
2161	0
2152	0
2171	0
2180	0
2162	0
2181	0
2163	0
2154	0
2173	0
2164	0
2155	0
2183	0
2156	0
2147	0
2191	0
2166	0
2192	0
2139	0
2175	0
2148	0
2311	0
2312	0
7476	0
7469	0
7460	0
7615	0
7611	0
7473	0
7461	0
7470	0
7466	0
7620	0
7471	0
7717	0
7467	0
7474	0
7621	0
7730	0
7617	0
7613	0
7468	0
7614	0
8174	0
8154	0
7731	0
7727	0
8178	0
7732	0
8322	0
8310	0
8197	0
8238	0
8298	0
8250	0
8286	0
8179	0
8143	0
7733	0
8210	0
7729	0
8184	0
8275	0
8198	0
7721	0
8188	0
8251	0
8312	0
8264	0
8240	0
8211	0
8181	0
8157	0
8147	0
8344	0
8324	0
8384	0
8374	0
8364	0
8199	0
8277	0
8253	0
8395	0
8365	0
8313	0
8200	0
8301	0
8385	0
8355	0
8241	0
8335	0
8336	0
8346	0
8396	0
8326	0
8302	0
8290	0
8376	0
8278	0
8314	0
8366	0
8242	0
8254	0
8159	0
8191	0
8149	0
8171	0
8160	0
8377	0
8337	0
8327	0
8192	0
8387	0
8315	0
8202	0
8442	0
8397	0
8267	0
8279	0
8291	0
8172	0
8378	0
8328	0
8358	0
8173	0
8316	0
8348	0
8268	0
8256	0
8203	0
8281	0
8257	0
8389	0
8379	0
8317	0
8399	0
8444	0
8369	0
8194	0
8359	0
8370	0
8400	1
8360	0
8270	0
8282	0
8340	0
8380	0
8306	0
8258	0
8330	0
8294	0
8246	0
8318	0
8446	0
