	Significant
20536	0
20544	0
20548	0
20565	0
20558	0
20571	0
20526	0
20575	0
20537	0
20572	0
20545	0
20555	0
20566	0
20576	0
20550	0
20560	0
20546	0
20528	0
20539	0
20577	0
20529	0
20561	0
20547	0
20574	0
20551	0
20562	0
20541	0
20535	0
20553	0
20563	0
20584	0
20591	0
20585	0
20592	0
20600	0
20597	0
20615	0
20587	0
20613	0
20616	0
20602	0
63759	0
20601	0
21070	0
21071	0
21068	0
21072	0
21061	0
21132	0
21125	0
21141	0
21354	0
21133	0
21122	0
21350	0
21138	0
21134	0
21344	0
21351	0
21135	0
21832	0
21820	0
21353	0
21833	0
21813	0
21821	0
21817	0
21359	0
21805	0
21825	0
21809	0
21830	0
21818	0
21814	0
21806	0
21807	0
21827	0
22299	0
21349	0
21815	0
22302	0
21831	0
21819	0
65126	0
65110	0
65118	1
65102	0
65121	1
65113	0
65129	0
65125	0
65101	0
65117	1
65123	0
65131	0
65116	0
65124	0
65119	1
65127	0
65103	0
65128	0
65120	1
65130	0
65114	0
65122	1
23464	0
23509	0
23484	0
23493	0
23510	0
23522	0
23471	0
23502	0
23482	0
23472	0
23486	0
23524	0
23512	0
23503	0
23732	0
23718	0
23495	0
23483	0
23467	0
23488	0
23726	0
23719	0
23504	0
23525	0
23496	0
23474	0
23475	0
23526	0
23469	0
23489	0
23727	0
23720	0
23497	0
23519	0
23490	0
23499	0
23507	0
23730	0
23737	0
23724	0
23731	0
23479	0
3623	0
3745	0
63065	0
3645	0
63068	0
3638	0
3661	0
3668	0
3622	0
3647	0
3732	0
3740	0
3625	0
3605	0
3648	0
3670	0
3606	1
3640	0
3746	0
3741	0
3742	0
3641	0
3671	0
3607	1
3692	0
3767	0
3693	0
3714	0
3608	1
3743	0
3665	0
3650	0
3672	1
3666	0
3768	1
3736	0
3609	1
3715	0
3749	0
3673	1
3651	0
3694	1
3737	0
3750	0
3644	0
3652	0
3769	0
3630	0
3716	0
3674	0
3611	1
3751	0
3631	0
3770	0
3717	0
3675	0
3653	0
3771	0
3676	0
3612	0
3719	0
3698	0
3677	0
3772	0
3613	0
3699	0
3754	0
3720	0
3773	0
3614	0
3656	0
3774	0
3700	0
3679	0
3635	0
3721	0
3755	0
3680	0
3636	0
3701	0
3658	0
3722	0
3756	0
3616	1
3775	0
3776	0
3637	0
3757	0
3723	0
3801	0
3702	0
3681	0
3659	0
3617	0
3703	0
3618	0
3778	0
3803	0
3683	0
3804	0
3727	0
3761	0
3706	0
3805	0
3781	0
3762	0
3806	0
3810	0
3687	0
3708	0
3782	0
3807	0
3688	0
3764	0
4382	0
4418	0
4444	0
4445	0
4407	0
4383	0
4419	0
4401	0
4425	0
4437	0
4413	0
4431	0
4420	0
4432	0
4426	0
4385	0
4397	0
4391	0
4415	0
4427	0
4439	0
4433	0
4450	0
4410	0
4398	0
4422	0
4392	0
4451	0
4387	0
4423	0
4429	0
4435	0
4464	0
4538	0
4442	0
4453	0
4443	0
4465	0
4525	0
4526	0
4466	0
4553	0
4454	0
4540	0
4554	0
4455	0
4555	0
4542	0
4528	0
4577	0
4567	0
4529	0
4457	0
4578	0
4530	0
4544	0
4470	0
4458	0
4570	0
4471	0
4459	0
4531	0
4559	0
4582	0
4473	0
4573	0
4534	0
4584	0
4574	0
4535	0
4585	0
4550	0
4575	0
4563	0
4536	0
4586	1
4564	0
4576	0
4690	0
4695	0
4691	0
4700	0
4844	0
4878	0
4895	0
4887	0
4917	0
4926	0
4927	0
4686	0
4949	0
4701	0
4941	0
4911	0
4879	0
4957	0
4692	0
4697	0
4863	0
4904	0
5160	0
5113	0
5122	0
5132	0
4687	0
5070	0
4958	0
5207	0
5061	0
4912	0
4864	0
5015	0
5052	0
4880	0
5171	0
5095	0
4928	0
5189	0
5088	0
5079	0
4855	0
4942	0
5181	0
5172	0
5152	0
5025	0
4865	0
5080	0
4959	1
5114	0
4929	0
4913	0
4935	0
4914	0
5054	0
5200	0
4906	0
5034	0
4891	0
5026	0
4930	0
4936	0
4882	0
4944	0
4921	0
5072	0
5182	0
5153	0
5081	0
5144	0
5163	0
5107	0
5098	0
5018	0
4961	0
4892	0
4937	0
5125	0
4915	0
4907	0
4945	0
5135	0
4876	0
5082	0
4867	0
5192	0
5035	0
5174	0
5211	0
5175	0
5155	0
4932	0
5083	0
4916	0
5065	0
4859	0
4908	0
5146	0
4901	0
5117	0
4946	0
5028	0
5092	0
5074	0
5099	0
4706	0
5036	0
5108	0
5164	0
5184	0
5047	0
4868	0
5136	0
4893	0
4850	0
4962	0
5010	0
5137	0
5057	0
5020	0
5037	0
5048	0
5066	0
5084	0
5093	0
5147	0
5156	0
5185	0
5194	0
5203	0
5212	0
5002	0
5109	0
4894	0
4885	0
4909	0
4924	0
4955	0
4963	0
4925	0
4956	0
5076	0
5085	0
5157	0
5094	0
5252	0
5110	0
5003	0
5119	0
5138	0
5177	0
5259	0
4940	0
5021	0
5186	0
5195	0
5196	0
5420	0
5436	0
5382	0
5050	0
5302	0
5013	0
5368	0
5068	0
5253	0
5077	0
5344	0
5388	0
5111	0
5254	0
5289	0
5303	0
5275	0
5130	0
5014	0
5023	0
5078	0
5087	0
5103	0
5197	0
5215	0
5339	0
5421	0
5369	0
5361	0
5383	0
5345	0
5389	0
5362	0
5268	0
5324	0
5422	0
5378	0
5390	0
5346	0
5255	0
5296	0
5318	0
5310	0
5494	0
5495	0
5371	0
5423	0
5263	0
5311	0
5333	0
5291	0
5319	0
5277	0
5416	0
5452	0
5408	0
5448	0
5474	0
5380	0
5964	0
5392	1
5440	0
5814	0
5372	0
5989	0
5400	0
5432	0
5720	0
5312	0
5496	0
5695	0
5914	0
5745	0
6014	0
5625	0
5264	0
5278	0
5342	0
5348	0
5605	0
5284	0
5864	0
5326	0
5292	0
5257	0
5364	0
5839	1
5401	0
5518	0
5417	0
5381	0
5321	0
5271	0
5409	0
5746	0
5606	0
5840	0
5279	0
5915	0
5940	0
6089	0
5721	0
5453	0
5865	0
5307	0
5768	1
5387	0
6015	0
5890	0
5497	0
5365	0
5258	0
5475	0
5990	0
5265	0
5449	0
5433	0
6065	0
5357	0
5815	0
5651	0
5373	0
5366	0
5891	0
5769	0
5916	0
5866	0
6504	0
5358	0
5374	0
5816	0
6182	0
6458	0
6343	0
6041	0
6297	0
6066	0
5627	0
6274	0
5328	0
5300	0
5519	0
6159	0
5314	0
