	ABC.id	normalized_h3K27ac_e	normalized_h3K4me3_e	normalized_dhs	TargetGeneExpression	distance	H3K27ac.RPKM.quantile_TSS	H3K4me3.RPKM.quantile_TSS	H3K27me3.RPKM.quantile_TSS	hic_contact	Enhancer.count.near.TSS	zscore.contact.to.TSS	diff.from.max.contact.to.TSS	remaining.enhancers.contact.to.TSS	TSS.count.near.enhancer	zscore.contact.from.enhancer	diff.from.max.contact.from.enhancer	remaining.TSS.contact.from.enhancer	ARID3A_e	ARNT_e	ATF3_e	BHLHE40_e	BRD9_e	C11orf30_e	CBX3_e	CC2D1A_e	CHAMP1_e	CTBP1_e	E2F7_e	FOXM1_e	GATA1_e	GATA2_e	GATAD2A_e	GATAD2B_e	GMEB1_e	HDAC3_e	HMBOX1_e	IRF1_e	JUN_e	KLF16_e	MCM7_e	MEIS2_e	MYBL2_e	MYC_e	NBN_e	NCOA2_e	NCOR1_e	NFRKB_e	NR2F1_e	NR3C1_e	NRF1_e	PHB2_e	PML_e	POLR2A_e	PRDM10_e	RBM22_e	SAFB_e	SMAD1_e	SMARCA4_e	SMARCE1_e	STAT1_e	STAT2_e	STAT5A_e	TAF9B_e	TCF12_e	TEAD4_e	ZBTB2_e	ZBTB5_e	ZBTB7A_e	ZNF274_e	ZNF282_e	AFF1_TSS	ARHGAP35_TSS	ASH1L_TSS	ATF7_TSS	C11orf30_TSS	CBX5_TSS	CEBPB_TSS	E2F6_TSS	E2F8_TSS	ELF4_TSS	ELK1_TSS	ESRRA_TSS	GABPA_TSS	HCFC1_TSS	HDAC6_TSS	IRF1_TSS	IRF2_TSS	JUNB_TSS	L3MBTL2_TSS	MEIS2_TSS	MIER1_TSS	MLLT1_TSS	MTA3_TSS	NCOA1_TSS	NFRKB_TSS	NFXL1_TSS	NR2F2_TSS	PRDM10_TSS	RBBP5_TSS	RBM22_TSS	RUNX1_TSS	SIN3B_TSS	SIX5_TSS	SMAD1_TSS	SMARCA4_TSS	SNRNP70_TSS	SP1_TSS	SUZ12_TSS	TAF15_TSS	TAF7_TSS	TBL1XR1_TSS	TBP_TSS	TCF7L2_TSS	THAP1_TSS	U2AF1_TSS	UBTF_TSS	WHSC1_TSS	XRCC3_TSS	XRCC5_TSS	YY1_TSS	ZBTB11_TSS	ZBTB40_TSS	ZBTB7A_TSS	ZNF184_TSS	ZNF24_TSS	TF_NMF1_e	TF_NMF2_e	TF_NMF3_e	TF_NMF4_e	TF_NMF5_e	TF_NMF6_e	TF_NMF7_e	TF_NMF8_e	TF_NMF9_e	TF_NMF10_e	TF_NMF11_e	TF_NMF1_TSS	TF_NMF2_TSS	TF_NMF3_TSS	TF_NMF4_TSS	TF_NMF5_TSS	TF_NMF6_TSS	TF_NMF7_TSS	TF_NMF8_TSS	TF_NMF9_TSS	TF_NMF10_TSS	TF_NMF11_TSS	TF_NMF12_TSS
63895	chr10:3085664-3086164_PFKP	0.409391	0.317746	1.830017	3.901366425239617	23797.0	0.608237	0.632944	0.134553	0.010522	421	2.8800836379084367	-0.024574	0.350879	33	5.323843500625382	0.0	0.006887	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0738933207813574	0.0580653465725353	0.0179358721853371	0.0	0.0	0.0059417646680676	0.0	0.009903658863593	0.0	0.0070098633765204	0.0	0.0031934299634474	0.0	0.0	0.0	0.042585738247425	0.0832419488181214	0.0	0.0521198612566163
63929	chr10:3085664-3086164_PITRM1	0.409391	0.317746	1.830017	3.2748780149834857	129119.0	0.611516	0.674984	0.382536	0.002925	423	0.9713622637889976	-0.036989	0.277136	33	1.277075476386838	-0.007597	0.014484	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0738933207813574	0.0580653465725353	0.0179358721853371	0.0	0.0	0.0059417646680676	0.0	0.0296421354488783	0.0	0.0249168419809329	0.0	0.0	0.0237769347965121	0.0378095862953366	0.0224299469433732	0.0441105123580632	0.0278952306863855	0.0888342431103482	0.0
63890	chr10:3087953-3088453_PFKP	3.172783	2.383095	4.534072	3.901366425239617	21508.0	0.608237	0.632944	0.134553	0.010522	421	2.8800836379084367	-0.024574	0.350879	33	5.323843500625382	0.0	0.006887	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0710910668033501	0.0188102718295479	0.0509808981576321	0.0337803490592636	0.0628225136958631	0.0345499734144352	0.0	0.0023507760856703	0.0036998819530049	0.0254962062684198	0.009903658863593	0.0	0.0070098633765204	0.0	0.0031934299634474	0.0	0.0	0.0	0.042585738247425	0.0832419488181214	0.0	0.0521198612566163
63907	chr10:3087953-3088453_KLF6	3.172783	2.383095	4.534072	2.1471001901536506	739270.0	0.79699	0.637893	0.134553	0.000977	429	0.0018141377386215	-0.029767	0.415483	33	0.2394153327489961	-0.009545	0.016432	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0710910668033501	0.0188102718295479	0.0509808981576321	0.0337803490592636	0.0628225136958631	0.0345499734144352	0.0	0.0023507760856703	0.0036998819530049	0.0254962062684198	0.0	0.0	0.1102182472350345	0.0053743546098117	0.1231610381636989	0.0	0.034438695064602	0.0611576144925754	0.014586001247183	0.0492276923292414	0.0560676120144796	0.0
63924	chr10:3087953-3088453_PITRM1	3.172783	2.383095	4.534072	3.2748780149834857	126830.0	0.611516	0.674984	0.382536	0.002925	423	0.9713622637889976	-0.036989	0.277136	33	1.277075476386838	-0.007597	0.014484	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0710910668033501	0.0188102718295479	0.0509808981576321	0.0337803490592636	0.0628225136958631	0.0345499734144352	0.0	0.0023507760856703	0.0036998819530049	0.0254962062684198	0.0296421354488783	0.0	0.0249168419809329	0.0	0.0	0.0237769347965121	0.0378095862953366	0.0224299469433732	0.0441105123580632	0.0278952306863855	0.0888342431103482	0.0
63897	chr10:3355904-3357268_KLF6	4.810348	1.58873	2.506031	2.1471001901536506	470887.0	0.79699	0.637893	0.134553	0.000467	429	-0.1466763956818852	-0.030277	0.415993	33	0.9045541279034962	-0.000875	0.004794	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0075261190180235	0.0711546216050286	0.0126215864916192	0.08053950779766	0.006920228224283	0.0	0.0990083624505867	0.0	0.0	0.0	0.0	0.1102182472350345	0.0053743546098117	0.1231610381636989	0.0	0.034438695064602	0.0611576144925754	0.014586001247183	0.0492276923292414	0.0560676120144796	0.0
63882	chr10:3598301-3599227_PFKP	1.43287	3.177459	0.792097	3.901366425239617	489053.0	0.608237	0.632944	0.134553	0.0	421	-0.2558438414938465	-0.035096	0.361401	33	-0.6182691639792326	-0.001803	0.010825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0077803282467119	0.0	0.0238898324188121	0.0	0.0	0.0011460962046176	0.0240289858502869	0.0241797721400954	0.0107244660229853	0.009903658863593	0.0	0.0070098633765204	0.0	0.0031934299634474	0.0	0.0	0.0	0.042585738247425	0.0832419488181214	0.0	0.0521198612566163
63899	chr10:3598301-3599227_KLF6	1.43287	3.177459	0.792097	2.1471001901536506	228709.0	0.79699	0.637893	0.134553	0.001787	429	0.2376520437594264	-0.028957	0.414673	33	2.749855627616086	-1.5999999999999955e-05	0.009038	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0444210706290741	0.0013883520397762	0.0	0.0	0.0084757884451358	0.0	0.0	0.0285862010142257	0.0	0.0	0.1102182472350345	0.0053743546098117	0.1231610381636989	0.0	0.034438695064602	0.0611576144925754	0.014586001247183	0.0492276923292414	0.0560676120144796	0.0
63923	chr10:3707513-3708013_PITRM1	5.015044	1.906476	7.046931	3.2748780149834857	492730.0	0.611516	0.674984	0.382536	0.002084	423	0.6103611440737726	-0.0378299999999999	0.277977	33	2.682751170699111	-0.001166	0.00614	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.1213733128887855	0.065658471473052	0.1146831586529794	0.0583284173409109	0.0340546286941431	0.0015928908536622	0.0171178001862591	0.0	0.0361626084695513	0.0356240163146891	0.0489580539682698	0.0296421354488783	0.0	0.0249168419809329	0.0	0.0	0.0237769347965121	0.0378095862953366	0.0224299469433732	0.0441105123580632	0.0278952306863855	0.0888342431103482	0.0
63906	chr10:3707513-3708013_KLF6	5.015044	1.906476	7.046931	2.1471001901536506	119710.0	0.79699	0.637893	0.134553	0.00325	429	0.6636160641402136	-0.027494	0.41321	33	4.387628285486724	0.0	0.004974	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.1213733128887855	0.065658471473052	0.1146831586529794	0.0583284173409109	0.0340546286941431	0.0015928908536622	0.0171178001862591	0.0	0.0361626084695513	0.0356240163146891	0.0489580539682698	0.0	0.0	0.1102182472350345	0.0053743546098117	0.1231610381636989	0.0	0.034438695064602	0.0611576144925754	0.014586001247183	0.0492276923292414	0.0560676120144796	0.0
