	group
3263	chr11.1
3203	chr11.1
3255	chr11.1
3167	chr11.1
3247	chr11.1
3271	chr11.1
3176	chr11.1
3111	chr11.1
3185	chr11.1
3229	chr11.1
3194	chr11.1
3221	chr11.1
3213	chr11.1
3071	chr11.1
3103	chr11.1
3295	chr11.1
3095	chr11.1
3287	chr11.1
3135	chr11.1
3088	chr11.1
3296	chr11.1
3112	chr11.1
3186	chr11.1
3195	chr11.1
3128	chr11.1
3072	chr11.1
3080	chr11.1
3104	chr11.1
3204	chr11.1
3120	chr11.1
3264	chr11.1
3160	chr11.1
3256	chr11.1
3168	chr11.1
3288	chr11.1
3196	chr11.1
3153	chr11.1
3129	chr11.1
3161	chr11.1
3056	chr11.1
3178	chr11.1
3169	chr11.1
3145	chr11.1
3187	chr11.1
3281	chr11.1
3257	chr11.1
3273	chr11.1
3205	chr11.1
3231	chr11.1
3297	chr11.1
3289	chr11.1
3290	chr11.1
3162	chr11.1
3224	chr11.1
3106	chr11.1
3065	chr11.1
3098	chr11.1
3240	chr11.1
3170	chr11.1
3114	chr11.1
3123	chr11.1
3107	chr11.1
3058	chr11.1
3083	chr11.1
3299	chr11.1
3291	chr11.1
3283	chr11.1
3251	chr11.1
3241	chr11.1
3198	chr11.1
3099	chr11.1
3155	chr11.1
3189	chr11.1
3171	chr11.1
3163	chr11.1
3147	chr11.1
5600	chr11.1
3132	chr11.1
3292	chr11.1
3284	chr11.1
3140	chr11.1
3276	chr11.1
3268	chr11.1
3148	chr11.1
3116	chr11.1
3252	chr11.1
3242	chr11.1
3164	chr11.1
3124	chr11.1
3218	chr11.1
3260	chr11.1
3208	chr11.1
3092	chr11.1
3084	chr11.1
3133	chr11.1
3235	chr11.1
3227	chr11.1
3219	chr11.1
3141	chr11.1
3200	chr11.1
3173	chr11.1
3165	chr11.1
3269	chr11.1
3125	chr11.1
3157	chr11.1
3293	chr11.1
3301	chr11.1
3117	chr11.1
3060	chr11.1
3285	chr11.1
3109	chr11.1
3166	chr11.1
3175	chr11.1
3184	chr11.1
3094	chr11.1
3294	chr11.1
3270	chr11.1
3220	chr11.1
3228	chr11.1
3236	chr11.1
3278	chr11.1
3158	chr11.1
3262	chr11.1
3110	chr11.1
3070	chr11.1
3078	chr11.1
3086	chr11.1
3102	chr11.1
3142	chr11.1
6909	chr11.1
6933	chr11.1
3244	chr11.1
6931	chr11.1
5602	chr11.1
3211	chr11.1
6941	chr11.1
6908	chr11.1
6934	chr11.1
8072	chr11.1
6902	chr11.1
6942	chr11.1
8061	chr11.1
8110	chr11.1
8077	chr11.1
8066	chr11.1
8093	chr11.1
8098	chr11.1
8121	chr11.1
6919	chr11.1
6935	chr11.1
6926	chr11.1
8067	chr11.1
6903	chr11.1
8099	chr11.1
8073	chr11.1
8111	chr11.1
8122	chr11.1
8078	chr11.1
6920	chr11.1
8100	chr11.1
8106	chr11.1
6914	chr11.1
8112	chr11.1
6904	chr11.1
8079	chr11.1
8068	chr11.1
6928	chr11.1
6921	chr11.1
8085	chr11.1
8080	chr11.1
8075	chr11.1
8069	chr11.1
8113	chr11.1
8213	chr11.1
8101	chr11.1
8064	chr11.1
8108	chr11.1
8070	chr11.1
8065	chr11.1
8226	chr11.1
8224	chr11.1
8215	chr11.1
8109	chr11.1
8216	chr11.1
8229	chr11.1
8225	chr11.1
8422	chr11.1
8431	chr11.1
8419	chr11.1
8416	chr11.1
8437	chr11.1
8413	chr11.1
8425	chr11.1
8407	chr11.1
8404	chr11.1
8428	chr11.1
8417	chr11.1
8236	chr11.1
8426	chr11.1
8427	chr11.1
8409	chr11.1
8415	chr11.1
8430	chr11.1
8421	chr11.1
8424	chr11.1
2925	chr11.1
3001	chr11.1
2958	chr11.1
8449	chr11.1
2984	chr11.1
2926	chr11.1
2917	chr11.1
3018	chr11.1
2959	chr11.1
3010	chr11.1
3019	chr11.1
3003	chr11.1
2918	chr11.1
2927	chr11.1
2986	chr11.1
3020	chr11.1
3012	chr11.1
2919	chr11.1
3004	chr11.1
2909	chr11.1
2962	chr11.1
3005	chr11.1
2980	chr11.1
3006	chr11.1
3014	chr11.1
2988	chr11.1
2910	chr11.1
2930	chr11.1
2931	chr11.1
2955	chr11.1
2973	chr11.1
2989	chr11.1
2922	chr11.1
2939	chr11.1
2947	chr11.1
2964	chr11.1
2990	chr11.1
2974	chr11.1
2999	chr11.1
3016	chr11.1
2932	chr11.1
3023	chr11.1
2923	chr11.1
2948	chr11.1
3009	chr11.1
2933	chr11.1
2924	chr11.1
3000	chr11.1
2991	chr11.1
2983	chr11.1
2975	chr11.1
3045	chr11.1
2950	chr11.1
2914	chr11.1
3026	chr11.1
3043	chr11.1
3049	chr11.1
3046	chr11.1
2915	chr11.1
2951	chr11.1
2952	chr11.1
3305	chr11.1
3053	chr11.1
3309	chr11.1
3054	chr11.1
3310	chr11.1
3308	chr11.1
65358	chr11.1
65354	chr11.1
65352	chr11.1
3334	chr11.1
65353	chr11.1
65355	chr11.1
65359	chr11.1
3408	chr11.1
3410	chr11.1
3407	chr11.1
3411	chr11.1
3401	chr11.1
3400	chr11.1
3409	chr11.1
3406	chr11.1
64981	chr11.1
64980	chr11.1
3945	chr11.3
3923	chr11.3
3930	chr11.3
3960	chr11.3
3924	chr11.3
3953	chr11.3
3925	chr11.3
3947	chr11.3
3933	chr11.3
3961	chr11.3
3962	chr11.3
3934	chr11.3
3963	chr11.3
3935	chr11.3
3942	chr11.3
3956	chr11.3
3927	chr11.3
3964	chr11.3
3950	chr11.3
3928	chr11.3
3957	chr11.3
3936	chr11.3
3929	chr11.3
3965	chr11.3
3958	chr11.3
4089	chr11.3
4096	chr11.3
4138	chr11.3
4181	chr11.3
4090	chr11.3
4220	chr11.3
4167	chr11.3
4229	chr11.3
4153	chr11.3
4139	chr11.3
4132	chr11.3
4125	chr11.3
4104	chr11.3
4097	chr11.3
4147	chr11.3
4105	chr11.3
