	group
65683	chr1.2
65682	chr1.2
65684	chr1.2
64636	chr1.2
64640	chr1.2
64639	chr1.2
64638	chr1.2
64637	chr1.2
20459	chr1.2
20456	chr1.2
20448	chr1.2
20445	chr1.2
20454	chr1.2
20457	chr1.2
20460	chr1.2
20458	chr1.2
20452	chr1.2
20455	chr1.2
20449	chr1.2
63243	chr1.2
63251	chr1.2
63259	chr1.2
63267	chr1.2
63235	chr1.2
63227	chr1.2
63252	chr1.2
63228	chr1.2
63244	chr1.2
63245	chr1.2
63215	chr1.2
63261	chr1.2
63240	chr1.2
63232	chr1.2
63256	chr1.2
63224	chr1.2
63248	chr1.2
63264	chr1.2
63216	chr1.2
63246	chr1.2
63222	chr1.2
63262	chr1.2
63249	chr1.2
63257	chr1.2
63241	chr1.2
63225	chr1.2
63239	chr1.2
63247	chr1.2
63263	chr1.2
63231	chr1.2
63226	chr1.2
63258	chr1.2
63242	chr1.2
63250	chr1.2
63266	chr1.2
63630	chr1.2
63633	chr1.2
63637	chr1.2
63627	chr1.2
63631	chr1.2
63623	chr1.2
63622	chr1.2
63635	chr1.2
63632	chr1.2
63636	chr1.2
20518	chr1.2
20516	chr1.2
20522	chr1.2
20517	chr1.2
20525	chr1.2
20523	chr1.2
20521	chr1.2
20519	chr1.2
20536	chr1.3
20544	chr1.3
20548	chr1.3
20565	chr1.3
20558	chr1.3
20571	chr1.3
20526	chr1.3
20575	chr1.3
20537	chr1.3
20572	chr1.3
20545	chr1.3
20555	chr1.3
20566	chr1.3
20576	chr1.3
20550	chr1.3
20560	chr1.3
20546	chr1.3
20528	chr1.3
20539	chr1.3
20577	chr1.3
20529	chr1.3
20561	chr1.3
20547	chr1.3
20574	chr1.3
20551	chr1.3
20562	chr1.3
20541	chr1.3
20535	chr1.3
20553	chr1.3
20563	chr1.3
20584	chr1.3
20591	chr1.3
20585	chr1.3
20592	chr1.3
20600	chr1.3
20597	chr1.3
20615	chr1.3
20587	chr1.3
20613	chr1.3
20616	chr1.3
20602	chr1.3
63759	chr1.3
20601	chr1.3
21070	chr1.3
21071	chr1.3
21068	chr1.3
21072	chr1.3
21061	chr1.3
21132	chr1.3
21125	chr1.3
21141	chr1.3
21354	chr1.3
21133	chr1.3
21122	chr1.3
21350	chr1.3
21138	chr1.3
21134	chr1.3
21344	chr1.3
21351	chr1.3
21135	chr1.3
21832	chr1.3
21820	chr1.3
21353	chr1.3
21833	chr1.3
21813	chr1.3
21821	chr1.3
21817	chr1.3
21359	chr1.3
21805	chr1.3
21825	chr1.3
21809	chr1.3
21830	chr1.3
21818	chr1.3
21814	chr1.3
21806	chr1.3
21807	chr1.3
21827	chr1.3
22299	chr1.3
21349	chr1.3
21815	chr1.3
22302	chr1.3
21831	chr1.3
21819	chr1.3
65126	chr1.3
65110	chr1.3
65118	chr1.3
65102	chr1.3
65121	chr1.3
65113	chr1.3
65129	chr1.3
65125	chr1.3
65101	chr1.3
65117	chr1.3
65123	chr1.3
65131	chr1.3
65116	chr1.3
65124	chr1.3
65119	chr1.3
65127	chr1.3
65103	chr1.3
65128	chr1.3
65120	chr1.3
65130	chr1.3
65114	chr1.3
65122	chr1.3
23464	chr1.3
23509	chr1.3
23484	chr1.3
23493	chr1.3
23510	chr1.3
23522	chr1.3
23471	chr1.3
23502	chr1.3
23482	chr1.3
23472	chr1.3
23486	chr1.3
23524	chr1.3
23512	chr1.3
23503	chr1.3
23732	chr1.3
23718	chr1.3
23495	chr1.3
23483	chr1.3
23467	chr1.3
23488	chr1.3
23726	chr1.3
23719	chr1.3
23504	chr1.3
23525	chr1.3
23496	chr1.3
23474	chr1.3
23475	chr1.3
23526	chr1.3
23469	chr1.3
23489	chr1.3
23727	chr1.3
23720	chr1.3
23497	chr1.3
23519	chr1.3
23490	chr1.3
23499	chr1.3
23507	chr1.3
23730	chr1.3
23737	chr1.3
23724	chr1.3
23731	chr1.3
23479	chr1.3
3263	chr11.1
3203	chr11.1
3255	chr11.1
3167	chr11.1
3247	chr11.1
3271	chr11.1
3176	chr11.1
3111	chr11.1
3185	chr11.1
3229	chr11.1
3194	chr11.1
3221	chr11.1
3213	chr11.1
3071	chr11.1
3103	chr11.1
3295	chr11.1
3095	chr11.1
3287	chr11.1
3135	chr11.1
3088	chr11.1
3296	chr11.1
3112	chr11.1
3186	chr11.1
3195	chr11.1
3128	chr11.1
3072	chr11.1
3080	chr11.1
3104	chr11.1
3204	chr11.1
3120	chr11.1
3264	chr11.1
3160	chr11.1
3256	chr11.1
3168	chr11.1
3288	chr11.1
3196	chr11.1
3153	chr11.1
3129	chr11.1
3161	chr11.1
3056	chr11.1
3178	chr11.1
3169	chr11.1
3145	chr11.1
3187	chr11.1
3281	chr11.1
3257	chr11.1
3273	chr11.1
3205	chr11.1
3231	chr11.1
3297	chr11.1
3289	chr11.1
3290	chr11.1
3162	chr11.1
3224	chr11.1
3106	chr11.1
3065	chr11.1
3098	chr11.1
3240	chr11.1
