	ABC.id
2665	chr1:1055465-1055965_VWA1
2711	chr1:1055465-1055965_SDF4
2658	chr1:1055465-1055965_TMEM52
2650	chr1:1055465-1055965_B3GALT6
2774	chr1:1055465-1055965_NOC2L
2636	chr1:1055465-1055965_ACAP3
2682	chr1:1055465-1055965_CCNL2
2759	chr1:1055465-1055965_AURKAIP1
2689	chr1:1055465-1055965_CDK11A
2745	chr1:1055465-1055965_MXRA8
2746	chr1:1070663-1071163_MXRA8
2775	chr1:1070663-1071163_NOC2L
2676	chr1:1070663-1071163_HES4
2810	chr1:1070663-1071163_MRPL20
2782	chr1:1070663-1071163_SLC35E2B
2659	chr1:1070663-1071163_TMEM52
2705	chr1:1070663-1071163_GNB1
2719	chr1:1070663-1071163_DVL1
2683	chr1:1070663-1071163_CCNL2
2671	chr1:1070663-1071163_AGRN
2760	chr1:1070663-1071163_AURKAIP1
2690	chr1:1070663-1071163_CDK11A
2765	chr1:1070663-1071163_ISG15
2732	chr1:1070663-1071163_SSU72
2697	chr1:1070663-1071163_NADK
2789	chr1:1070663-1071163_MIB2
2770	chr1:1070663-1071163_KLHL17
2725	chr1:1070663-1071163_C1orf159
2753	chr1:1070663-1071163_PUSL1
2740	chr1:1092673-1093173_MXRA8
2638	chr1:1092673-1093173_ATAD3B
2776	chr1:1092673-1093173_SLC35E2B
2790	chr1:1092673-1093173_ATAD3A
2771	chr1:1092673-1093173_NOC2L
2631	chr1:1092673-1093173_ACAP3
2804	chr1:1092673-1093173_MRPL20
2754	chr1:1092673-1093173_AURKAIP1
2733	chr1:1092673-1093173_UBE2J2
2720	chr1:1092673-1093173_C1orf159
2660	chr1:1092673-1093173_VWA1
2713	chr1:1092673-1093173_DVL1
2706	chr1:1092673-1093173_SDF4
2652	chr1:1092673-1093173_TMEM52
2673	chr1:1537681-1538181_HES4
2685	chr1:1537681-1538181_CDK11A
2762	chr1:1537681-1538181_ISG15
2721	chr1:1537681-1538181_C1orf159
2714	chr1:1537681-1538181_DVL1
11069	chr1:1537681-1538181_FAM213B
2741	chr1:1537681-1538181_MXRA8
2678	chr1:1537681-1538181_CCNL2
2767	chr1:1537681-1538181_KLHL17
2768	chr1:1830516-1831016_KLHL17
11058	chr1:1830516-1831016_SKI
11070	chr1:1830516-1831016_FAM213B
2633	chr1:1830516-1831016_ACAP3
2674	chr1:1830516-1831016_HES4
2763	chr1:1830516-1831016_ISG15
11064	chr1:1830516-1831016_MORN1
2773	chr1:1830516-1831016_NOC2L
2640	chr1:1830516-1831016_ATAD3B
2669	chr1:1830516-1831016_AGRN
11082	chr1:1830516-1831016_PANK4
2785	chr1:1830516-1831016_MIB2
11088	chr1:1830516-1831016_RER1
2792	chr1:1830516-1831016_ATAD3A
2624	chr1:1830516-1831016_PRKCZ
2806	chr1:1830516-1831016_MRPL20
2778	chr1:1830516-1831016_SLC35E2B
2813	chr1:1830516-1831016_CDK11B
2647	chr1:1830516-1831016_B3GALT6
2708	chr1:1830516-1831016_SDF4
2728	chr1:1830516-1831016_SSU72
2715	chr1:1830516-1831016_DVL1
2735	chr1:1830516-1831016_UBE2J2
2679	chr1:1830516-1831016_CCNL2
2742	chr1:1830516-1831016_MXRA8
2700	chr1:1830516-1831016_GNB1
2749	chr1:1830516-1831016_PUSL1
2722	chr1:1830516-1831016_C1orf159
2693	chr1:1830516-1831016_NADK
2756	chr1:1830516-1831016_AURKAIP1
2686	chr1:1830516-1831016_CDK11A
2786	chr1:1974781-1975281_MIB2
11083	chr1:1974781-1975281_PANK4
11065	chr1:1974781-1975281_MORN1
2750	chr1:1974781-1975281_PUSL1
11053	chr1:1974781-1975281_PEX10
2723	chr1:1974781-1975281_C1orf159
2687	chr1:1974781-1975281_CDK11A
2648	chr1:1974781-1975281_B3GALT6
11060	chr1:2157921-2158421_SKI
2780	chr1:2157921-2158421_SLC35E2B
2744	chr1:2157921-2158421_MXRA8
11054	chr1:2157921-2158421_PEX10
11084	chr1:2157921-2158421_PANK4
2656	chr1:2157921-2158421_TMEM52
2681	chr1:2157921-2158421_CCNL2
11091	chr1:2800102-2800602_RER1
2703	chr1:2800102-2800602_GNB1
2657	chr1:2800102-2800602_TMEM52
2140	chr1:2800102-2800602_CEP104
2176	chr1:2800102-2800602_DFFB
2167	chr1:2800102-2800602_TPRG1L
2158	chr1:2800102-2800602_LRRC47
11068	chr1:2928971-2929471_MORN1
2628	chr1:2928971-2929471_PRKCZ
11092	chr1:2928971-2929471_RER1
2168	chr1:2928971-2929471_TPRG1L
11056	chr1:2928971-2929471_PEX10
2194	chr1:2928971-2929471_SMIM1
11062	chr1:2928971-2929471_SKI
2185	chr1:2928971-2929471_C1orf174
11074	chr1:2928971-2929471_FAM213B
2169	chr1:3720424-3720924_TPRG1L
2179	chr1:3721530-3722030_DFFB
2170	chr1:3721530-3722030_TPRG1L
2196	chr1:3721530-3722030_SMIM1
2143	chr1:3721530-3722030_CEP104
2161	chr1:3721530-3722030_LRRC47
2152	chr1:3721530-3722030_WRAP73
2171	chr1:4035828-4036328_TPRG1L
2180	chr1:4035828-4036328_DFFB
2162	chr1:4035828-4036328_LRRC47
2181	chr1:4037957-4038457_DFFB
2163	chr1:4037957-4038457_LRRC47
2154	chr1:4037957-4038457_WRAP73
2173	chr1:4046597-4047097_TPRG1L
2164	chr1:4046597-4047097_LRRC47
2155	chr1:4046597-4047097_WRAP73
2183	chr1:4186831-4187331_DFFB
2156	chr1:4186831-4187331_WRAP73
2147	chr1:4186831-4187331_CEP104
2191	chr1:4186831-4187331_C1orf174
2166	chr1:4422612-4423112_TPRG1L
2192	chr1:4422612-4423112_SMIM1
2139	chr1:4422612-4423112_CEP104
2175	chr1:4422612-4423112_DFFB
2148	chr1:4422612-4423112_WRAP73
2311	chr1:5364664-5365164_KCNAB2
2312	chr1:5364664-5365164_RPL22
7476	chr1:8257764-8258264_CAMTA1
7469	chr1:8257764-8258264_PARK7
7460	chr1:8257764-8258264_ERRFI1
7615	chr1:8918057-8918557_TMEM201
7611	chr1:8918057-8918557_SLC25A33
7473	chr1:8918057-8918557_RERE
7461	chr1:8918057-8918557_ERRFI1
7470	chr1:8918057-8918557_PARK7
7466	chr1:8918057-8918557_ENO1
7620	chr1:8959888-8960388_PIK3CD
7471	chr1:8959888-8960388_PARK7
7717	chr1:8959888-8960388_CTNNBIP1
7467	chr1:8959888-8960388_ENO1
7474	chr1:8959888-8960388_RERE
7621	chr1:9205228-9205728_PIK3CD
7730	chr1:9205228-9205728_NMNAT1
7617	chr1:9205228-9205728_TMEM201
7613	chr1:9205228-9205728_SLC25A33
7468	chr1:9205228-9205728_ENO1
7614	chr1:10447767-10448267_SLC25A33
8174	chr1:10447767-10448267_PEX14
8154	chr1:10447767-10448267_UBIAD1
7731	chr1:10447767-10448267_NMNAT1
7727	chr1:10447767-10448267_LZIC
8178	chr1:10447767-10448267_PGD
7732	chr1:10965095-10965595_NMNAT1
8322	chr1:10965095-10965595_AGTRAP
8310	chr1:10965095-10965595_MTHFR
8197	chr1:10965095-10965595_MTOR
8238	chr1:10965095-10965595_FBXO2
8298	chr1:10965095-10965595_FBXO44
8250	chr1:10965095-10965595_C1orf167
8286	chr1:10965095-10965595_MAD2L2
8179	chr1:10965095-10965595_PGD
8143	chr1:10965767-10966267_KIF1B
7733	chr1:10965767-10966267_NMNAT1
8210	chr1:10965767-10966267_APITD1-CORT
7729	chr1:10965767-10966267_LZIC
8184	chr1:10965767-10966267_DFFA
8275	chr1:10965767-10966267_FBXO6
8198	chr1:10965767-10966267_MTOR
7721	chr1:10965767-10966267_CTNNBIP1
8188	chr1:10965767-10966267_EXOSC10
8251	chr1:10965767-10966267_C1orf167
8312	chr1:11399881-11400381_MTHFR
8264	chr1:11399881-11400381_CLCN6
8240	chr1:11399881-11400381_FBXO2
8211	chr1:11399881-11400381_APITD1-CORT
8181	chr1:11399881-11400381_PGD
8157	chr1:11399881-11400381_UBIAD1
8147	chr1:11399881-11400381_SRM
8344	chr1:11399881-11400381_KIAA2013
8324	chr1:11399881-11400381_AGTRAP
8384	chr1:11399881-11400381_MFN2
8374	chr1:11399881-11400381_PLOD1
8364	chr1:11399881-11400381_VPS13D
8199	chr1:11399881-11400381_MTOR
8277	chr1:11789608-11790108_FBXO6
8253	chr1:11789608-11790108_C1orf167
8395	chr1:11789608-11790108_MIIP
8365	chr1:11789608-11790108_VPS13D
8313	chr1:11789608-11790108_MTHFR
8200	chr1:11789608-11790108_MTOR
8301	chr1:11789608-11790108_FBXO44
8385	chr1:11789608-11790108_MFN2
8355	chr1:11789608-11790108_TNFRSF8
8241	chr1:11789608-11790108_FBXO2
8335	chr1:11789608-11790108_TNFRSF1B
8336	chr1:11791723-11792223_TNFRSF1B
8346	chr1:11791723-11792223_KIAA2013
8396	chr1:11791723-11792223_MIIP
8326	chr1:11791723-11792223_AGTRAP
8302	chr1:11791723-11792223_FBXO44
8290	chr1:11791723-11792223_MAD2L2
8376	chr1:11791723-11792223_PLOD1
8278	chr1:11791723-11792223_FBXO6
8314	chr1:11791723-11792223_MTHFR
8366	chr1:11791723-11792223_VPS13D
8242	chr1:11791723-11792223_FBXO2
8254	chr1:11791723-11792223_C1orf167
8159	chr1:11791723-11792223_UBIAD1
8191	chr1:11791723-11792223_EXOSC10
8149	chr1:11791723-11792223_SRM
8171	chr1:11791723-11792223_TARDBP
8160	chr1:11942007-11942507_UBIAD1
8377	chr1:11942007-11942507_PLOD1
8337	chr1:11942007-11942507_TNFRSF1B
8327	chr1:11942007-11942507_AGTRAP
8192	chr1:11942007-11942507_EXOSC10
8387	chr1:11942007-11942507_MFN2
8315	chr1:11942007-11942507_MTHFR
8202	chr1:11942007-11942507_MTOR
8442	chr1:11942007-11942507_DHRS3
8397	chr1:11942007-11942507_MIIP
8267	chr1:11942007-11942507_CLCN6
8279	chr1:11942007-11942507_FBXO6
8291	chr1:11942007-11942507_MAD2L2
8172	chr1:11942007-11942507_TARDBP
8378	chr1:11942865-11943365_PLOD1
8328	chr1:11942865-11943365_AGTRAP
8358	chr1:11942865-11943365_TNFRSF8
