	ABC.id	normalized_h3K27ac_e	normalized_h3K4me3_e	normalized_dhs	TargetGeneExpression	distance	H3K27ac.RPKM.quantile_TSS	H3K4me3.RPKM.quantile_TSS	H3K27me3.RPKM.quantile_TSS	hic_contact	Enhancer.count.near.TSS	zscore.contact.to.TSS	diff.from.max.contact.to.TSS	remaining.enhancers.contact.to.TSS	TSS.count.near.enhancer	zscore.contact.from.enhancer	diff.from.max.contact.from.enhancer	remaining.TSS.contact.from.enhancer	ARID3A_e	ARNT_e	ATF3_e	BHLHE40_e	BRD9_e	C11orf30_e	CBX3_e	CC2D1A_e	CHAMP1_e	CTBP1_e	E2F7_e	FOXM1_e	GATA1_e	GATA2_e	GATAD2A_e	GATAD2B_e	GMEB1_e	HDAC3_e	HMBOX1_e	IRF1_e	JUN_e	KLF16_e	MCM7_e	MEIS2_e	MYBL2_e	MYC_e	NBN_e	NCOA2_e	NCOR1_e	NFRKB_e	NR2F1_e	NR3C1_e	NRF1_e	PHB2_e	PML_e	POLR2A_e	PRDM10_e	RBM22_e	SAFB_e	SMAD1_e	SMARCA4_e	SMARCE1_e	STAT1_e	STAT2_e	STAT5A_e	TAF9B_e	TCF12_e	TEAD4_e	ZBTB2_e	ZBTB5_e	ZBTB7A_e	ZNF274_e	ZNF282_e	AFF1_TSS	ARHGAP35_TSS	ASH1L_TSS	ATF7_TSS	C11orf30_TSS	CBX5_TSS	CEBPB_TSS	E2F6_TSS	E2F8_TSS	ELF4_TSS	ELK1_TSS	ESRRA_TSS	GABPA_TSS	HCFC1_TSS	HDAC6_TSS	IRF1_TSS	IRF2_TSS	JUNB_TSS	L3MBTL2_TSS	MEIS2_TSS	MIER1_TSS	MLLT1_TSS	MTA3_TSS	NCOA1_TSS	NFRKB_TSS	NFXL1_TSS	NR2F2_TSS	PRDM10_TSS	RBBP5_TSS	RBM22_TSS	RUNX1_TSS	SIN3B_TSS	SIX5_TSS	SMAD1_TSS	SMARCA4_TSS	SNRNP70_TSS	SP1_TSS	SUZ12_TSS	TAF15_TSS	TAF7_TSS	TBL1XR1_TSS	TBP_TSS	TCF7L2_TSS	THAP1_TSS	U2AF1_TSS	UBTF_TSS	WHSC1_TSS	XRCC3_TSS	XRCC5_TSS	YY1_TSS	ZBTB11_TSS	ZBTB40_TSS	ZBTB7A_TSS	ZNF184_TSS	ZNF24_TSS	TF_NMF1_e	TF_NMF2_e	TF_NMF3_e	TF_NMF4_e	TF_NMF5_e	TF_NMF6_e	TF_NMF7_e	TF_NMF8_e	TF_NMF9_e	TF_NMF10_e	TF_NMF11_e	TF_NMF1_TSS	TF_NMF2_TSS	TF_NMF3_TSS	TF_NMF4_TSS	TF_NMF5_TSS	TF_NMF6_TSS	TF_NMF7_TSS	TF_NMF8_TSS	TF_NMF9_TSS	TF_NMF10_TSS	TF_NMF11_TSS	TF_NMF12_TSS
0	chr11:220371-220871_IFITM1	3.889217	0.091445	0.39292	6.612618824869523	93369.0	0.892293	0.780552	0.705353	0.007133	328	0.8181834047455802	-0.058466	0.613176	72	0.6908755374555983	-0.022047	0.18505	2.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	2.0	0.0	0.0	2.0	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0.0176779103128474	0.0	0.0882479672830893	0.0294920147376948	0.0	0.0	0.1009047527097661	0.0342685946255063	0.2642546400571143	0.0	0.0080954523372212	0.0393932155388261	0.0109887018532088	0.0	0.0	0.0991938826763972	0.069047203260217	0.0209139780776575	0.0	0.0215743592762948	0.0723477849048519	0.0769327512563382	0.0904825003861627
1	chr11:266936-267436_IFITM1	0.614087	0.274334	2.267815	6.612618824869523	46804.0	0.892293	0.780552	0.705353	0.01215	328	1.601276075051843	-0.053449	0.608159	75	1.525199628044121	-0.008924	0.163865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0.0	0.0131912458500138	0.0101606040430825	0.0	0.0	0.0	0.002081542586406	0.0	0.0	0.0	0.0	0.0393932155388261	0.0109887018532088	0.0	0.0	0.0991938826763972	0.069047203260217	0.0209139780776575	0.0	0.0215743592762948	0.0723477849048519	0.0769327512563382	0.0904825003861627
2	chr11:269111-269851_IFITM1	22.209479	1.005892	2.502957	6.612618824869523	44509.0	0.892293	0.780552	0.705353	0.01215	328	1.601276075051843	-0.053449	0.608159	75	1.525199628044121	-0.008924	0.163865	0.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	0.0	2.0	4.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0.0426256808725636	0.0190623952030147	0.1061947414629903	0.130009823070383	0.0342244485769868	0.037423410647098	0.0150082335918905	0.0	0.1155834687328492	0.1625289123378288	0.10618763164028	0.0393932155388261	0.0109887018532088	0.0	0.0	0.0991938826763972	0.069047203260217	0.0209139780776575	0.0	0.0215743592762948	0.0723477849048519	0.0769327512563382	0.0904825003861627
3	chr11:277321-278045_IFITM1	3.070435	0.091445	1.467695	6.612618824869523	36307.0	0.892293	0.780552	0.705353	0.008591	328	1.0457594687891385	-0.057008	0.611718	77	1.0181178209165491	-0.022557	0.148598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0.0349964833068806	0.0	0.0	0.0468740374197666	0.0069731632371385	0.0	0.0	0.0	0.0542846150815976	0.0647461204991285	0.070414322536048	0.0393932155388261	0.0109887018532088	0.0	0.0	0.0991938826763972	0.069047203260217	0.0209139780776575	0.0	0.0215743592762948	0.0723477849048519	0.0769327512563382	0.0904825003861627
4	chr11:277321-278045_IFITM1	3.070435	0.091445	1.467695	6.612618824869523	36307.0	0.892293	0.780552	0.705353	0.008591	328	1.0457594687891385	-0.057008	0.611718	77	1.0181178209165491	-0.022557	0.148598	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0.0307684461601735	0.0105004463465652	0.0	0.0469180609840087	0.0	0.0183881766501044	0.0023174982878268	0.0	0.09291969003136	0.0608212043549	0.0801958201604256	0.0393932155388261	0.0109887018532088	0.0	0.0	0.0991938826763972	0.069047203260217	0.0209139780776575	0.0	0.0215743592762948	0.0723477849048519	0.0769327512563382	0.0904825003861627
5	chr11:297499-298134_IFITM1	2.865739	0.823002	10.781671	6.612618824869523	16173.5	0.892293	0.780552	0.705353	0.017669	328	2.4627248387393594	-0.04793	0.60264	78	2.375206835631358	-0.0119259999999999	0.171126	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0.0122842940770594	0.1299288876838021	0.0008052350600219	0.0085609489154056	0.0304996510026689	0.0	0.0287488029579644	0.0	0.0457831523390063	0.1560359269535483	0.00675451093725	0.0393932155388261	0.0109887018532088	0.0	0.0	0.0991938826763972	0.069047203260217	0.0209139780776575	0.0	0.0215743592762948	0.0723477849048519	0.0769327512563382	0.0904825003861627
6	chr11:304879-305379_IFITM1	0.204696	0.274334	1.325361	6.612618824869523	8861.0	0.892293	0.780552	0.705353	0.030831	328	4.517152928548216	-0.034768	0.589478	78	4.374876474813947	-0.022663	0.184977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0.0055245929712731	0.0	0.0	0.0	0.1412115751625275	0.0	0.0042257283765695	0.0	0.0	0.0	0.0	0.0393932155388261	0.0109887018532088	0.0	0.0	0.0991938826763972	0.069047203260217	0.0209139780776575	0.0	0.0215743592762948	0.0723477849048519	0.0769327512563382	0.0904825003861627
7	chr11:326862-327696_IFITM1	8.597218	3.657789	17.230488	6.612618824869523	13289.0	0.892293	0.780552	0.705353	0.029301	328	4.278338540354359	-0.036298	0.591008	79	4.1854993090615285	-0.024354	0.164605	0.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0.0296089798373077	0.1322726462146461	0.0577265573525367	0.1008417812080152	0.0278563066999764	0.0	0.0154263789296534	0.0486726711800867	0.0980782811001322	0.1283134153138515	0.105115823244952	0.0393932155388261	0.0109887018532088	0.0	0.0	0.0991938826763972	0.069047203260217	0.0209139780776575	0.0	0.0215743592762948	0.0723477849048519	0.0769327512563382	0.0904825003861627
8	chr11:329320-329921_IFITM1	8.187826	1.188781	18.093341	6.612618824869523	15630.5	0.892293	0.780552	0.705353	0.029301	328	4.278338540354359	-0.036298	0.591008	79	4.1854993090615285	-0.024354	0.164605	0.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0	4.0	2.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	0.0	2.0	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0.0644257882316176	0.0654563825728264	0.0570779345560906	0.090306657399927	0.0340553647845068	0.1630679538125084	0.0878419319218809	0.0889179128555788	0.1580645812377163	0.0554180457586441	0.1161760538859653	0.0393932155388261	0.0109887018532088	0.0	0.0	0.0991938826763972	0.069047203260217	0.0209139780776575	0.0	0.0215743592762948	0.0723477849048519	0.0769327512563382	0.0904825003861627
9	chr11:334166-334666_IFITM1	4.400957	0.365779	3.621625	6.612618824869523	20426.0	0.892293	0.780552	0.705353	0.021474	328	3.056639052515586	-0.044125	0.598835	79	3.075528694492637	-0.0069089999999999	0.116599	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0.0202489700492888	0.0521773613088786	0.0	0.0648476870817974	0.0112585629701838	0.0140903634545496	0.0	0.0	0.0	0.1188937414222274	0.0138898277531711	0.0393932155388261	0.0109887018532088	0.0	0.0	0.0991938826763972	0.069047203260217	0.0209139780776575	0.0	0.0215743592762948	0.0723477849048519	0.0769327512563382	0.0904825003861627
