	ABC.id	normalized_h3K27ac_e	normalized_h3K4me3_e	normalized_dhs	TargetGeneExpression	distance	H3K27ac.RPKM.quantile_TSS	H3K4me3.RPKM.quantile_TSS	H3K27me3.RPKM.quantile_TSS	hic_contact	Enhancer.count.near.TSS	zscore.contact.to.TSS	diff.from.max.contact.to.TSS	remaining.enhancers.contact.to.TSS	TSS.count.near.enhancer	zscore.contact.from.enhancer	diff.from.max.contact.from.enhancer	remaining.TSS.contact.from.enhancer	ARID3A_e	ARNT_e	ATF3_e	BHLHE40_e	BRD9_e	C11orf30_e	CBX3_e	CC2D1A_e	CHAMP1_e	CTBP1_e	E2F7_e	FOXM1_e	GATA1_e	GATA2_e	GATAD2A_e	GATAD2B_e	GMEB1_e	HDAC3_e	HMBOX1_e	IRF1_e	JUN_e	KLF16_e	MCM7_e	MEIS2_e	MYBL2_e	MYC_e	NBN_e	NCOA2_e	NCOR1_e	NFRKB_e	NR2F1_e	NR3C1_e	NRF1_e	PHB2_e	PML_e	POLR2A_e	PRDM10_e	RBM22_e	SAFB_e	SMAD1_e	SMARCA4_e	SMARCE1_e	STAT1_e	STAT2_e	STAT5A_e	TAF9B_e	TCF12_e	TEAD4_e	ZBTB2_e	ZBTB5_e	ZBTB7A_e	ZNF274_e	ZNF282_e	AFF1_TSS	ARHGAP35_TSS	ASH1L_TSS	ATF7_TSS	C11orf30_TSS	CBX5_TSS	CEBPB_TSS	E2F6_TSS	E2F8_TSS	ELF4_TSS	ELK1_TSS	ESRRA_TSS	GABPA_TSS	HCFC1_TSS	HDAC6_TSS	IRF1_TSS	IRF2_TSS	JUNB_TSS	L3MBTL2_TSS	MEIS2_TSS	MIER1_TSS	MLLT1_TSS	MTA3_TSS	NCOA1_TSS	NFRKB_TSS	NFXL1_TSS	NR2F2_TSS	PRDM10_TSS	RBBP5_TSS	RBM22_TSS	RUNX1_TSS	SIN3B_TSS	SIX5_TSS	SMAD1_TSS	SMARCA4_TSS	SNRNP70_TSS	SP1_TSS	SUZ12_TSS	TAF15_TSS	TAF7_TSS	TBL1XR1_TSS	TBP_TSS	TCF7L2_TSS	THAP1_TSS	U2AF1_TSS	UBTF_TSS	WHSC1_TSS	XRCC3_TSS	XRCC5_TSS	YY1_TSS	ZBTB11_TSS	ZBTB40_TSS	ZBTB7A_TSS	ZNF184_TSS	ZNF24_TSS	TF_NMF1_e	TF_NMF2_e	TF_NMF3_e	TF_NMF4_e	TF_NMF5_e	TF_NMF6_e	TF_NMF7_e	TF_NMF8_e	TF_NMF9_e	TF_NMF10_e	TF_NMF11_e	TF_NMF1_TSS	TF_NMF2_TSS	TF_NMF3_TSS	TF_NMF4_TSS	TF_NMF5_TSS	TF_NMF6_TSS	TF_NMF7_TSS	TF_NMF8_TSS	TF_NMF9_TSS	TF_NMF10_TSS	TF_NMF11_TSS	TF_NMF12_TSS
0	chr1:3691325-3691845_CEP104	3.889217	2.541967	10.48182	3.1730412885244013	82212.0	0.743177	0.899299	0.134553	0.004866	749	2.4634139305521137	-0.027066	0.345763	83	2.0897204564377456	-0.02462	0.085956	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1	0	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0.1233361707289291	0.0488553468177793	0.1274828489087697	0.0135509269590007	0.0	0.0055330489196002	0.0487630833387088	0.0	0.0	0.0368980821894116	0.0	0.0842874530958357	0.0	0.0372820130531809	0.0558101912714205	0.0	0.0050345459609931	0.0441528264594105	0.0048254296449132	0.0577218920147831	0.0371941582773412	0.017212799152647	0.010693111635956
1	chr1:3691325-3691845_LRRC47	3.889217	2.541967	10.48182	3.6301904577652566	21483.0	0.747984	0.931644	0.693641	0.01221	735	3.3719070913726155	-0.031758	0.5254329999999999	83	3.253291084476285	-0.017276	0.078612	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	0	1	0.1233361707289291	0.0488553468177793	0.1274828489087697	0.0135509269590007	0.0	0.0055330489196002	0.0487630833387088	0.0	0.0	0.0368980821894116	0.0	0.1058026638899114	0.0271765453367461	0.0470524673195848	0.0886982332104841	0.0	0.0508387238418565	0.0288268465975586	0.0207810098595736	0.0207282606227851	0.0136796669035289	0.0	0.0052087646977153
2	chr1:3691325-3691845_SMIM1	3.889217	2.541967	10.48182	3.945070859474346	2235.0	0.633147	0.680585	0.134553	0.029486	734	7.259775931186319	-0.013724	0.598349	83	7.188799077845463	0.0	0.061336	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0.1233361707289291	0.0488553468177793	0.1274828489087697	0.0135509269590007	0.0	0.0055330489196002	0.0487630833387088	0.0	0.0	0.0368980821894116	0.0	0.0	0.0031322420450679	0.0057867487854565	0.0	0.0	0.0	0.0	0.0	0.1228891857974932	0.0738528776351035	0.00141578584855	0.0132386068053845
3	chr1:29210325-29210825_EPB41	22.516522	4.130697	21.081076	4.779207523194349	3027.0	0.93861	0.869765	0.693641	0.028095	1560	13.013706152728554	0.0	0.782796	114	13.025899842847483	0.0	0.027229	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	0	0	1	0	0	1	2	1	1	0	1	1	0	0	1	0	0	1	1	0	1	2	1	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0.0955303780029835	0.0480980945550676	0.192306392851234	0.0451764114787013	0.0410179511030018	0.0337553785273109	0.0071370248455401	0.0695843522208156	0.0333190547351603	0.0273785520361647	0.0422660367017537	0.01821901105271	0.0481257949536547	0.0291403008082764	0.0	0.035771850934363	0.0570441569838393	0.0559813626314925	0.0798802704731602	0.0259510511727052	0.026999288660942	0.0602412775940784	0.032189291643828
4	chr1:29210885-29211925_EPB41	71.64348	7.784775	20.692881	4.779207523194349	2197.0	0.93861	0.869765	0.693641	0.028095	1560	13.013706152728554	0.0	0.782796	114	13.025899842847483	0.0	0.027229	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	0	0	1	0	0	1	2	1	1	0	1	1	0	0	1	0	0	1	1	0	1	2	1	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0.0918263974785917	0.0627574752748485	0.1917522387054392	0.0074162009081358	0.0542720794573338	0.076878373750822	0.0131997772605047	0.0585408327234418	0.0222151068892304	0.0146401029687334	0.0536144171768359	0.01821901105271	0.0481257949536547	0.0291403008082764	0.0	0.035771850934363	0.0570441569838393	0.0559813626314925	0.0798802704731602	0.0259510511727052	0.026999288660942	0.0602412775940784	0.032189291643828
5	chr10:127505065-127505565_UROS	7.266696	3.336332	8.719849	3.306886702190914	6522.0	0.987677	0.875143	0.382536	0.035719	298	5.848095880335402	0.0	0.470069	27	5.607588495037444	0.0	0.047885	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0.1275606427314537	0.0031717708867957	0.0527822523066456	0.0095975855982246	0.0	0.0715392717636858	0.036570435664325	0.0023580566687611	0.0863841695294813	0.0	0.037925170793082	0.0654156827588879	0.0361990175530841	0.0	0.006760817002583	0.0254944381044045	0.0669549458994449	0.0	0.0159011259128358	0.0159412382575065	0.0237974281733039	0.0438426639163716	0.0073118886233485
6	chr11:3283025-3283525_HBE1	0.0	0.0	0.67093	7.19886397385182	2008098.0	0.683131	0.647792	0.693641	0.0	1029	-0.2383528621551097	-0.042283	0.910986	97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045745451502125	0.0	0.0	0.0	0.0394329896248678	0.0411962293814805	9.50708427160523e-05	0.0	0.0034847166163915	0.0113947683816507	0.0167509167515429	0.0
7	chr11:3283745-3284245_HBE1	0.0	0.0	0.573693	7.19886397385182	2007378.0	0.683131	0.647792	0.693641	0.0	1029	-0.2383528621551097	-0.042283	0.910986	97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0508912095735238	0.0	0.0	0.0201234605371652	0.0048681602755711	0.0045745451502125	0.0	0.0	0.0	0.0394329896248678	0.0411962293814805	9.50708427160523e-05	0.0	0.0034847166163915	0.0113947683816507	0.0167509167515429	0.0
8	chr11:3328845-3329345_HBE1	0.307043	0.317746	1.582214	7.19886397385182	1962278.0	0.683131	0.647792	0.693641	0.0	1029	-0.2383528621551097	-0.042283	0.910986	97	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204192431489119	0.0	0.0	0.0	0.0	0.0	0.1010578439997909	0.0	0.0141187602919561	0.0323454864236162	0.0070128095038784	0.0045745451502125	0.0	0.0	0.0	0.0394329896248678	0.0411962293814805	9.50708427160523e-05	0.0	0.0034847166163915	0.0113947683816507	0.0167509167515429	0.0
9	chr11:3345785-3346285_HBE1	0.0	0.0	0.299438	7.19886397385182	1945338.0	0.683131	0.647792	0.693641	0.0	1029	-0.2383528621551097	-0.042283	0.910986	97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045745451502125	0.0	0.0	0.0	0.0394329896248678	0.0411962293814805	9.50708427160523e-05	0.0	0.0034847166163915	0.0113947683816507	0.0167509167515429	0.0
