	ABC.id
20536	chr1:85084983-85085483_CYR61
20544	chr1:85084983-85085483_SAMD13
20548	chr1:85084983-85085483_SYDE2
20565	chr1:85084983-85085483_C1orf52
20558	chr1:85084983-85085483_SSX2IP
20571	chr1:85084983-85085483_GNG5
20526	chr1:85084983-85085483_CTBS
20575	chr1:85685836-85686336_ZNHIT6
20537	chr1:85685836-85686336_CYR61
20572	chr1:85685836-85686336_GNG5
20545	chr1:85685836-85686336_SAMD13
20555	chr1:85685836-85686336_RPF1
20566	chr1:85685836-85686336_C1orf52
20576	chr1:85690324-85691190_ZNHIT6
20550	chr1:85690324-85691190_SYDE2
20560	chr1:85690324-85691190_SSX2IP
20546	chr1:85690324-85691190_SAMD13
20528	chr1:85690324-85691190_CTBS
20539	chr1:85710393-85710893_CYR61
20577	chr1:85710393-85710893_ZNHIT6
20529	chr1:85710393-85710893_CTBS
20561	chr1:85710393-85710893_SSX2IP
20547	chr1:85710393-85710893_SAMD13
20574	chr1:85710393-85710893_GNG5
20551	chr1:85710393-85710893_SYDE2
20562	chr1:86078669-86079169_SSX2IP
20541	chr1:86094773-86095273_CYR61
20535	chr1:86094773-86095273_BCL10
20553	chr1:86094773-86095273_SYDE2
20563	chr1:86094773-86095273_SSX2IP
20584	chr1:86926614-86927114_ODF2L
20591	chr1:86926614-86927114_SH3GLB1
20585	chr1:86927200-86927700_ODF2L
20592	chr1:86927200-86927700_SH3GLB1
20600	chr1:86927200-86927700_LMO4
20597	chr1:87230681-87231181_SH3GLB1
20615	chr1:87239904-87240404_HS2ST1
20587	chr1:87241050-87241550_ODF2L
20613	chr1:87257864-87258364_HS2ST1
20616	chr1:87901120-87901620_HS2ST1
20602	chr1:88252470-88252970_LMO4
63759	chr1:88292238-88292738_PKN2
20601	chr1:88292238-88292738_LMO4
21070	chr1:90403772-90404272_LRRC8D
21071	chr1:90441043-90441543_LRRC8D
21068	chr1:90441043-90441543_LRRC8C
21072	chr1:91023627-91024127_LRRC8D
21061	chr1:91023627-91024127_LRRC8B
21132	chr1:91023627-91024127_CDC7
21125	chr1:91631599-91632099_ZNF644
